model_name,split,actual,predicted,actual_category,predicted_category
linear_regression,test,4.866666666666666,4.877292315614673,high,high
linear_regression,test,4.8,4.390114779840859,high,high
linear_regression,test,5.733333333333333,3.8368892923923066,high,high
linear_regression,test,4.733333333333333,4.130282343713417,high,high
linear_regression,test,6.4,3.70030799349233,high,high
linear_regression,test,6.4,4.809740901562085,high,high
linear_regression,test,5.4,4.464909427105969,high,high
linear_regression,test,4.866666666666666,4.200545687262484,high,high
linear_regression,test,6.8,3.305575453620045,high,high
linear_regression,test,5.133333333333334,4.177600780201461,high,high
linear_regression,test,5.133333333333334,3.511264375040444,high,high
linear_regression,test,6.466666666666667,3.4311107215070216,high,high
linear_regression,test,5.466666666666667,2.967957832332354,high,moderate
linear_regression,test,3.8,3.2365157556793864,high,moderate
linear_regression,test,4.533333333333333,2.029021044436793,high,low
linear_regression,test,5.866666666666666,1.6335631772668937,high,low
linear_regression,test,5.2,2.6597121925820293,high,moderate
linear_regression,test,3.333333333333333,3.0937193658602182,high,moderate
linear_regression,test,3.333333333333333,1.7903245053074404,high,low
linear_regression,test,4.466666666666667,0.9401218748054704,high,low
linear_regression,test,5.8,1.0856779888548882,high,low
linear_regression,test,5.666666666666667,2.8335559004538364,high,moderate
linear_regression,test,3.533333333333333,3.865729386444384,high,high
linear_regression,test,0.6666666666666666,3.208478424671376,low,moderate
linear_regression,test,0.8,1.2820395917782452,low,low
linear_regression,test,0.6666666666666666,1.0318222481528778,low,low
linear_regression,test,0.5333333333333333,0.4290963300327721,low,low
linear_regression,test,1.7333333333333334,1.4674463475716086,low,low
linear_regression,test,0.9333333333333332,1.477778323750433,low,low
linear_regression,test,0.6,0.5260618252997737,low,low
linear_regression,test,1.8,0.1990713382039075,low,low
linear_regression,test,2.066666666666667,0.1775818594058957,low,low
linear_regression,test,0.2,0.8693825824912143,low,low
linear_regression,test,0.8,0.1613564894877246,low,low
linear_regression,test,1.2666666666666666,-0.4610186757316805,low,low
linear_regression,test,2.466666666666667,-0.5877257744358397,moderate,low
linear_regression,test,2.7333333333333334,1.068137705515812,moderate,low
linear_regression,test,3.1333333333333333,1.1065464046018274,moderate,low
linear_regression,test,2.2,1.496561443023507,low,low
linear_regression,test,4.133333333333334,0.3824443942510029,high,low
linear_regression,test,4.266666666666667,0.9817988416205116,high,low
linear_regression,test,4.133333333333334,1.4048428947583638,high,low
linear_regression,test,4.0,2.0699317333816856,high,low
linear_regression,test,1.5333333333333334,2.528108349120153,low,moderate
linear_regression,test,3.2,1.659630618068496,moderate,low
