model_name,epoch,train_loss,val_loss
lstm,1,1.7515562193734304,4.063639163970947
lstm,2,1.715829605147952,4.027022361755371
lstm,3,1.6772617748805454,3.984968662261963
lstm,4,1.6308101937884376,3.9573683738708496
lstm,5,1.561326889764695,3.933316230773926
lstm,6,1.512079644203186,3.907884120941162
lstm,7,1.4486361900965372,3.913593292236328
lstm,8,1.376686818259103,3.933778762817383
lstm,9,1.2966348239353724,3.9580249786376953
lstm,10,1.247827339172363,3.999417304992676
lstm,11,1.146460543360029,3.992037773132324
lstm,12,1.085228036698841,3.960071086883545
lstm,13,1.05543292931148,3.8722617626190186
lstm,14,1.0013792946225122,3.7569034099578857
lstm,15,0.9694340478806268,3.6909358501434326
lstm,16,0.9400495778946648,3.490812063217163
lstm,17,0.8955270574206398,3.4274232387542725
lstm,18,0.8851140635354179,3.472008228302002
lstm,19,0.8535150408744812,3.531132936477661
lstm,20,0.8003178993860881,3.535974502563477
lstm,21,0.8352401926403954,3.5281567573547363
lstm,22,0.7997616336459206,3.3628904819488525
lstm,23,0.7519424943696885,3.3229787349700928
lstm,24,0.7480111803327288,3.3803606033325195
lstm,25,0.710185386453356,3.370000123977661
lstm,26,0.7200898925463358,3.36864709854126
lstm,27,0.7094305325122107,3.296074390411377
lstm,28,0.6863814405032567,3.3172645568847656
lstm,29,0.6891340715544564,3.476195335388184
lstm,30,0.7256695503280276,3.3721516132354736
lstm,31,0.702519957224528,3.203500986099243
lstm,32,0.683503900823139,3.147935628890991
lstm,33,0.6649443399338495,3.194753408432007
lstm,34,0.6768902880804879,3.308016777038574
lstm,35,0.7032129035109566,3.204799175262451
lstm,36,0.629874769278935,3.086952447891236
lstm,37,0.6886433555966331,3.0353217124938965
lstm,38,0.6611677374158587,3.184140920639038
lstm,39,0.6537984249137697,3.1836822032928467
lstm,40,0.6444077707472302,3.108342409133911
lstm,41,0.6585119122550601,3.0400919914245605
lstm,42,0.6355825344721476,2.996497869491577
lstm,43,0.666246737752642,3.094834804534912
lstm,44,0.6206491992587135,3.172053098678589
lstm,45,0.6680228917371659,3.058938980102539
lstm,46,0.6134981938770839,2.9992268085479736
lstm,47,0.6038538853327433,3.0469985008239746
lstm,48,0.6034117573783511,3.0565860271453857
lstm,49,0.6152972073782058,3.0262012481689453
lstm,50,0.6083827118078867,2.954864740371704
