scene_id,camera_id,split,interval_id,vehicle_count,n_frames,interval_start_sec,elapsed_time_sec,relative_position,vehicle_count_smoothed,lag_1,lag_2,lag_3,lag_4,rate_of_change,peak_density,rolling_mean,rolling_std,density_category
S01,c001,train,0,2.2,15,0,0,0.0,2.2,,,,,,2.2,2.2,0.0,low
S01,c001,train,1,1.1333333333333333,15,15,15,0.07692307692307693,1.6666666666666667,2.2,,,,-0.5333333333333334,2.2,1.9333333333333336,0.3771236166328255,low
S01,c001,train,2,1.6,15,30,30,0.15384615384615385,1.6444444444444446,1.6666666666666667,2.2,,,-0.022222222222222143,2.2,1.837037037037037,0.31453146289721706,low
S01,c001,train,3,3.4,15,45,45,0.23076923076923078,2.0444444444444443,1.6444444444444446,1.6666666666666667,2.2,,0.3999999999999997,2.0444444444444443,1.7851851851851854,0.2247998652665706,low
S01,c001,train,4,3.3333333333333335,15,60,60,0.3076923076923077,2.777777777777778,2.0444444444444443,1.6444444444444446,1.6666666666666667,2.2,0.7333333333333338,2.777777777777778,2.1555555555555554,0.5747785402834472,moderate
S01,c001,train,5,1.1333333333333333,15,75,75,0.38461538461538464,2.6222222222222222,2.777777777777778,2.0444444444444443,1.6444444444444446,1.6666666666666667,-0.1555555555555559,2.777777777777778,2.4814814814814814,0.38639411424429526,moderate
S01,c001,train,6,3.3333333333333335,15,90,90,0.46153846153846156,2.6,2.6222222222222222,2.777777777777778,2.0444444444444443,1.6444444444444446,-0.022222222222222143,2.777777777777778,2.6666666666666665,0.09686442096756778,moderate
S01,c001,train,7,3.2666666666666666,15,105,105,0.5384615384615384,2.577777777777778,2.6,2.6222222222222222,2.777777777777778,2.0444444444444443,-0.022222222222222143,2.6222222222222222,2.6,0.022222222222210583,moderate
S01,c001,train,8,3.1333333333333333,15,120,120,0.6153846153846154,3.244444444444444,2.577777777777778,2.6,2.6222222222222222,2.777777777777778,0.6666666666666661,3.244444444444444,2.8074074074074074,0.3786482346409486,moderate
S01,c001,train,9,2.2,15,135,135,0.6923076923076923,2.8666666666666667,3.244444444444444,2.577777777777778,2.6,2.6222222222222222,-0.3777777777777773,3.244444444444444,2.896296296296296,0.3343195287821246,moderate
S01,c001,train,10,4.333333333333333,15,150,150,0.7692307692307693,3.2222222222222228,2.8666666666666667,3.244444444444444,2.577777777777778,2.6,0.35555555555555607,3.244444444444444,3.111111111111111,0.21198648920376367,moderate
S01,c001,train,11,3.6666666666666665,15,165,165,0.8461538461538461,3.4000000000000004,3.2222222222222228,2.8666666666666667,3.244444444444444,2.577777777777778,0.1777777777777776,3.4000000000000004,3.1629629629629634,0.2715600411825669,moderate
S01,c001,train,12,2.533333333333333,15,180,180,0.9230769230769231,3.511111111111111,3.4000000000000004,3.2222222222222228,2.8666666666666667,3.244444444444444,0.11111111111111072,3.511111111111111,3.3777777777777778,0.1457208560955964,high
S01,c001,train,13,5.0,1,195,195,1.0,3.733333333333334,3.511111111111111,3.4000000000000004,3.2222222222222228,2.8666666666666667,0.22222222222222276,3.733333333333334,3.5481481481481487,0.16972502573910245,high
S01,c002,train,0,5.333333333333333,15,0,0,0.0,5.333333333333333,,,,,,5.333333333333333,5.333333333333333,0.0,high
S01,c002,train,1,1.8666666666666667,15,15,15,0.07142857142857142,3.5999999999999996,5.333333333333333,,,,-1.7333333333333334,5.333333333333333,4.466666666666667,1.2256517540566827,high
S01,c002,train,2,1.6,15,30,30,0.14285714285714285,2.9333333333333336,3.5999999999999996,5.333333333333333,,,-0.6666666666666661,5.333333333333333,3.9555555555555557,1.238876432423676,moderate
S01,c002,train,3,1.8666666666666667,15,45,45,0.21428571428571427,1.777777777777778,2.9333333333333336,3.5999999999999996,5.333333333333333,,-1.1555555555555557,3.5999999999999996,2.7703703703703706,0.9219767634075036,low
